"Txhash","Blockno","UnixTimestamp","DateTime","From","To","Quantity","Method"
"0x98d3575e31bce1e82e6871127fdf79476284053b0a19d0e396104468797808c1","11834886","1613041460","2021-02-11 11:04:20","0xb8541e73aa47a847fa39e803d19a3f9b1bbc5a6c","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","1","Vote"
"0x7ecae9a2ca75a6d0ec2040c47ff68fdcf8c0d2e2e4322b2071c0effba8ce4e9a","11834929","1613042055","2021-02-11 11:14:15","0xb8541e73aa47a847fa39e803d19a3f9b1bbc5a6c","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","51,569,813.49","Vote"
"0x896a9789686d2bdd6369ed16b0432d79daf9223c309820eed76f9fdb80e47156","11868176","1613482939","2021-02-16 13:42:19","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","0x5ed2a924cd735d725fcca11180f7b682e614e70a","2,591.6","Exec Transaction"
"0x0a8be821ef1affa64333a06eec90aff446b1d1bc0d4a77e8d07ebf84847ee8ed","11868189","1613483162","2021-02-16 13:46:02","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","0x87a4f91dfc400b44bcae04f7025789642af85611","40,244.6","Exec Transaction"
"0x9581d66e948111fa7e71000fa22a0753e30fd0637d69f34d72d1f0ebe21a7152","11964704","1614766884","2021-03-03 10:21:24","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","0x437e8c54db5c66bb3d80d2ff156e9bfe31a017db","641,758","Exec Transaction"
"0x789b1062d9075bf939ff6cbf6b9b4495259a3d48e5914e38bc29deda2a8eeb00","12139588","1617093316","2021-03-30 08:35:16","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","0x0a147ddf0817ade664eb9cb343d96a21ed857d11","1,750","Exec Transaction"
"0x9b0668874075a88008662e71727e280b90d2273309713dd7b0ac1df4fe8f425a","12139600","1617093489","2021-03-30 08:38:09","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","0x908db31ce01dc42c8b712f9156e969bc65023119","930.73","Exec Transaction"
"0x962777cdaa2a07bc722a23f4e5f1ddf61c943c9a1c8adf374c01896f37d54e32","12139605","1617093542","2021-03-30 08:39:02","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","0x437e8c54db5c66bb3d80d2ff156e9bfe31a017db","788,000","Exec Transaction"
"0xf3582b6d17b1789ebee2a8a52b8a1aa6051d0616ddeb0b94db799e3b2312e106","12224299","1618217665","2021-04-12 08:54:25","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","0x53b2234d9806d4e8a87cf37772fbb07c30fc16a6","808,022.861888676636447877","Exec Transaction"
"0xebf2eb9d0970f58a7213736bd99cd750952112a256e3473094ab7b21e8034a55","12266449","1618780155","2021-04-18 21:09:15","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","0x437e8c54db5c66bb3d80d2ff156e9bfe31a017db","400,000","Exec Transaction"
"0xe9929524b83c4e8da6f724a2274a3ff6476d86c318b4682b04514b055170e241","12327822","1619598587","2021-04-28 08:29:47","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","0x437e8c54db5c66bb3d80d2ff156e9bfe31a017db","1,384,616","Exec Transaction"
"0xb94932c7def1e2ff4ccd5fb52986efe0f8dc4f68c05bbc846c797a4b5e3813d2","12327830","1619598672","2021-04-28 08:31:12","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","0x437e8c54db5c66bb3d80d2ff156e9bfe31a017db","1,910.53","Exec Transaction"
"0x262750e205a23441233e927526fe6b0148a64f6e860e92fff0a4ab63a743f2c4","12328259","1619603773","2021-04-28 09:56:13","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","0x42743f4d9f139bfd04680df50bce2d7dd8816f90","409,836","Exec Transaction"
"0x1e40b35c15fb6f5bef479f4e852e5058ac4fcdf679baa025ab6cbaacae49c36b","12328285","1619604024","2021-04-28 10:00:24","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","0xbd6a40bb904aea5a49c59050b5395f7484a4203d","11,999.9999999999988","Exec Transaction"
"0x341c6f9314cb1a8e1f1e7e76eeb0f9264b7dec607348814346c8f2c5c30fcb86","12564397","1622761788","2021-06-03 23:09:48","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","0x437e8c54db5c66bb3d80d2ff156e9bfe31a017db","1,005,481.12","Exec Transaction"
"0x87a8d8e7c2faf043363ff8834867f52f7eeadccd8afc3713aaf9f3107d6ea9f7","12564404","1622761870","2021-06-03 23:11:10","0x003a70265a3662342010823bea15dc84c6f7ed54","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","554,275.681588396182426092","Exec Transaction"
"0x4e8c309ff9eb271fd05b665d3ce0989bdc2f6aa3f9c945a1475e1e32bf119cdf","12606199","1623320728","2021-06-10 10:25:28","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","0x5ed2a924cd735d725fcca11180f7b682e614e70a","50,000","Exec Transaction"
"0x1dfb00be048ad423929fda6924585c7abdb9e59b7e2843bb795cfbccc543ea3a","12737006","1625077912","2021-06-30 18:31:52","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","0x87a4f91dfc400b44bcae04f7025789642af85611","1,325,338.8","Exec Transaction"
"0x265749f6101654509cc3e472ef370c1b4dca7f88e620634435ad4e9b03e5856f","12738971","1625104334","2021-07-01 01:52:14","0x3dd46846eed8d147841ae162c8425c08bd8e1b41","0x437e8c54db5c66bb3d80d2ff156e9bfe31a017db","3,614.05","Exec Transaction"
